location_id,date,product_category,units_sold,revenue
1,2023-01-01,Electronics Store,46,361373.77
1,2023-02-01,Electronics Store,47,115839.44
1,2023-03-01,Electronics Store,48,165820.79
1,2023-04-01,Electronics Store,54,294600.25
1,2023-05-01,Electronics Store,46,259833.75
1,2023-06-01,Electronics Store,41,276311.98
1,2023-07-01,Electronics Store,42,313902.3
1,2023-08-01,Electronics Store,41,93279.43
1,2023-09-01,Electronics Store,40,254947.29
1,2023-10-01,Electronics Store,31,294995.74
1,2023-11-01,Electronics Store,39,199267.31
1,2023-12-01,Electronics Store,41,174146.52
1,2024-01-01,Electronics Store,43,87899.61
1,2024-02-01,Electronics Store,53,433018.63
1,2024-03-01,Electronics Store,55,255595.13
1,2024-04-01,Electronics Store,59,462374.12
1,2024-05-01,Electronics Store,55,444745.42
1,2024-06-01,Electronics Store,48,296729.41
1,2024-07-01,Electronics Store,48,216712.7
1,2024-08-01,Electronics Store,43,227171.73
1,2024-09-01,Electronics Store,38,358628.09
1,2024-10-01,Electronics Store,39,328745.69
1,2024-11-01,Electronics Store,39,149115.77
1,2024-12-01,Electronics Store,44,90447.15
1,2025-01-01,Electronics Store,47,448534.05
1,2025-02-01,Electronics Store,49,240542.8
1,2025-03-01,Electronics Store,45,192542.58
1,2025-04-01,Electronics Store,57,137474.31
1,2025-05-01,Electronics Store,56,553571.4
1,2025-06-01,Electronics Store,48,187252.82
1,2025-07-01,Electronics Store,53,144282.86
1,2025-08-01,Electronics Store,57,132593.46
1,2025-09-01,Electronics Store,37,264971.15
1,2025-10-01,Electronics Store,44,417728.96
1,2025-11-01,Electronics Store,48,409813.32
1,2025-12-01,Electronics Store,42,115282.53
1,2023-01-01,Clothing Store,103,236304.71
1,2023-02-01,Clothing Store,110,73510.79
1,2023-03-01,Clothing Store,138,113383.02
1,2023-04-01,Clothing Store,127,120464.4
1,2023-05-01,Clothing Store,151,331965.47
1,2023-06-01,Clothing Store,119,147016.36
1,2023-07-01,Clothing Store,120,211473.27
1,2023-08-01,Clothing Store,116,172264.1
1,2023-09-01,Clothing Store,95,228746.43
1,2023-10-01,Clothing Store,109,256873.45
1,2023-11-01,Clothing Store,98,111116.71
1,2023-12-01,Clothing Store,97,183529.78
1,2024-01-01,Clothing Store,125,247692.15
1,2024-02-01,Clothing Store,119,129374.86
1,2024-03-01,Clothing Store,149,268189.25
1,2024-04-01,Clothing Store,201,236374.05
1,2024-05-01,Clothing Store,136,215599.34
1,2024-06-01,Clothing Store,138,79308.1
1,2024-07-01,Clothing Store,129,120181.83
1,2024-08-01,Clothing Store,106,165647.18
1,2024-09-01,Clothing Store,89,92708.14
1,2024-10-01,Clothing Store,112,271633.24
1,2024-11-01,Clothing Store,100,100048.58
1,2024-12-01,Clothing Store,117,124004.53
1,2025-01-01,Clothing Store,159,158278.45
1,2025-02-01,Clothing Store,157,114946.81
1,2025-03-01,Clothing Store,157,109219.93
1,2025-04-01,Clothing Store,165,225671.04
1,2025-05-01,Clothing Store,145,253999.38
1,2025-06-01,Clothing Store,146,120576.85
1,2025-07-01,Clothing Store,136,224528.98
1,2025-08-01,Clothing Store,121,192539.26
1,2025-09-01,Clothing Store,122,138830.05
1,2025-10-01,Clothing Store,109,115944.34
1,2025-11-01,Clothing Store,130,273905.04
1,2025-12-01,Clothing Store,132,279004.37
1,2023-01-01,Grocery Store,415,109810.32
1,2023-02-01,Grocery Store,374,28342.08
1,2023-03-01,Grocery Store,475,69967.7
1,2023-04-01,Grocery Store,430,55826.22
1,2023-05-01,Grocery Store,428,52773.55
1,2023-06-01,Grocery Store,429,106346.85
1,2023-07-01,Grocery Store,378,60624.63
1,2023-08-01,Grocery Store,320,27439.33
1,2023-09-01,Grocery Store,305,20798.18
1,2023-10-01,Grocery Store,335,23855.16
1,2023-11-01,Grocery Store,287,85095.58
1,2023-12-01,Grocery Store,308,75240.31
1,2024-01-01,Grocery Store,423,22350.65
1,2024-02-01,Grocery Store,414,32863.97
1,2024-03-01,Grocery Store,468,56828.31
1,2024-04-01,Grocery Store,525,27845.27
1,2024-05-01,Grocery Store,459,134177.47
1,2024-06-01,Grocery Store,430,70363.16
1,2024-07-01,Grocery Store,436,125394.85
1,2024-08-01,Grocery Store,379,45231.87
1,2024-09-01,Grocery Store,277,81326.84
1,2024-10-01,Grocery Store,327,41653.88
1,2024-11-01,Grocery Store,323,92846.34
1,2024-12-01,Grocery Store,398,112706.48
1,2025-01-01,Grocery Store,461,91523.56
1,2025-02-01,Grocery Store,424,110062.84
1,2025-03-01,Grocery Store,395,100023.97
1,2025-04-01,Grocery Store,451,109253.33
1,2025-05-01,Grocery Store,453,130696.28
1,2025-06-01,Grocery Store,481,98379.92
1,2025-07-01,Grocery Store,437,78677.86
1,2025-08-01,Grocery Store,363,97706.31
1,2025-09-01,Grocery Store,395,33216.68
1,2025-10-01,Grocery Store,414,61297.26
1,2025-11-01,Grocery Store,364,54285.39
1,2025-12-01,Grocery Store,428,37136.86
1,2023-01-01,Café,183,42490.39
1,2023-02-01,Café,237,43186.12
1,2023-03-01,Café,261,70076.0
1,2023-04-01,Café,233,37330.6
1,2023-05-01,Café,241,63911.92
1,2023-06-01,Café,224,72262.11
1,2023-07-01,Café,211,46255.3
1,2023-08-01,Café,216,43704.86
1,2023-09-01,Café,194,65352.34
1,2023-10-01,Café,151,56444.06
1,2023-11-01,Café,264,55603.05
1,2023-12-01,Café,239,55094.23
1,2024-01-01,Café,219,70030.85
1,2024-02-01,Café,225,63962.24
1,2024-03-01,Café,307,73916.57
1,2024-04-01,Café,287,113832.47
1,2024-05-01,Café,231,43929.35
1,2024-06-01,Café,272,101780.05
1,2024-07-01,Café,242,60370.26
1,2024-08-01,Café,205,43967.52
1,2024-09-01,Café,222,48838.84
1,2024-10-01,Café,187,47939.15
1,2024-11-01,Café,178,52565.1
1,2024-12-01,Café,228,37153.94
1,2025-01-01,Café,226,79657.91
1,2025-02-01,Café,256,76520.88
1,2025-03-01,Café,212,82946.43
1,2025-04-01,Café,265,51756.69
1,2025-05-01,Café,287,100110.43
1,2025-06-01,Café,267,94422.86
1,2025-07-01,Café,261,92433.11
1,2025-08-01,Café,285,64223.17
1,2025-09-01,Café,223,63753.07
1,2025-10-01,Café,255,98164.3
1,2025-11-01,Café,191,54122.77
1,2025-12-01,Café,267,60857.45
2,2023-01-01,Electronics Store,35,79389.08
2,2023-02-01,Electronics Store,32,151572.93
2,2023-03-01,Electronics Store,36,301621.07
2,2023-04-01,Electronics Store,34,263849.94
2,2023-05-01,Electronics Store,35,120847.36
2,2023-06-01,Electronics Store,32,182273.49
2,2023-07-01,Electronics Store,42,90085.02
2,2023-08-01,Electronics Store,32,242342.61
2,2023-09-01,Electronics Store,35,188756.59
2,2023-10-01,Electronics Store,33,185021.59
2,2023-11-01,Electronics Store,30,201906.1
2,2023-12-01,Electronics Store,35,294798.97
2,2024-01-01,Electronics Store,38,181289.18
2,2024-02-01,Electronics Store,38,144279.87
2,2024-03-01,Electronics Store,29,270244.25
2,2024-04-01,Electronics Store,40,84190.23
2,2024-05-01,Electronics Store,39,104629.1
2,2024-06-01,Electronics Store,34,86244.8
2,2024-07-01,Electronics Store,34,77941.51
2,2024-08-01,Electronics Store,31,254330.85
2,2024-09-01,Electronics Store,35,113467.27
2,2024-10-01,Electronics Store,24,119675.39
2,2024-11-01,Electronics Store,35,77586.88
2,2024-12-01,Electronics Store,38,81992.0
2,2025-01-01,Electronics Store,32,89457.0
2,2025-02-01,Electronics Store,42,362953.87
2,2025-03-01,Electronics Store,44,92576.68
2,2025-04-01,Electronics Store,41,141510.82
2,2025-05-01,Electronics Store,40,163015.5
2,2025-06-01,Electronics Store,45,314693.61
2,2025-07-01,Electronics Store,38,308136.16
2,2025-08-01,Electronics Store,35,320474.62
2,2025-09-01,Electronics Store,34,240306.08
2,2025-10-01,Electronics Store,27,266630.87
2,2025-11-01,Electronics Store,34,142543.02
2,2025-12-01,Electronics Store,32,116843.85
2,2023-01-01,Clothing Store,90,164706.6
2,2023-02-01,Clothing Store,104,131692.81
2,2023-03-01,Clothing Store,106,180868.25
2,2023-04-01,Clothing Store,95,115077.82
2,2023-05-01,Clothing Store,92,218376.67
2,2023-06-01,Clothing Store,123,126016.95
2,2023-07-01,Clothing Store,114,232767.98
2,2023-08-01,Clothing Store,83,123751.56
2,2023-09-01,Clothing Store,85,160598.4
2,2023-10-01,Clothing Store,74,50554.15
2,2023-11-01,Clothing Store,80,126704.15
2,2023-12-01,Clothing Store,91,165398.57
2,2024-01-01,Clothing Store,93,230206.25
2,2024-02-01,Clothing Store,84,197441.72
2,2024-03-01,Clothing Store,95,232001.07
2,2024-04-01,Clothing Store,120,262691.86
2,2024-05-01,Clothing Store,109,80783.58
2,2024-06-01,Clothing Store,98,191054.29
2,2024-07-01,Clothing Store,110,192696.1
2,2024-08-01,Clothing Store,91,49940.94
2,2024-09-01,Clothing Store,85,178293.15
2,2024-10-01,Clothing Store,91,118651.43
2,2024-11-01,Clothing Store,81,159988.33
2,2024-12-01,Clothing Store,104,111745.71
2,2025-01-01,Clothing Store,98,182210.87
2,2025-02-01,Clothing Store,109,73991.6
2,2025-03-01,Clothing Store,112,93415.6
2,2025-04-01,Clothing Store,123,221313.08
2,2025-05-01,Clothing Store,106,92524.91
2,2025-06-01,Clothing Store,103,251135.14
2,2025-07-01,Clothing Store,116,93703.85
2,2025-08-01,Clothing Store,89,140081.45
2,2025-09-01,Clothing Store,83,200138.15
2,2025-10-01,Clothing Store,84,134544.04
2,2025-11-01,Clothing Store,77,114864.86
2,2025-12-01,Clothing Store,89,58051.29
2,2023-01-01,Grocery Store,346,75948.4
2,2023-02-01,Grocery Store,282,70318.53
2,2023-03-01,Grocery Store,341,69786.62
2,2023-04-01,Grocery Store,339,90838.74
2,2023-05-01,Grocery Store,313,28229.46
2,2023-06-01,Grocery Store,309,15943.31
2,2023-07-01,Grocery Store,290,60465.41
2,2023-08-01,Grocery Store,265,63668.1
2,2023-09-01,Grocery Store,247,18679.98
2,2023-10-01,Grocery Store,252,31560.7
2,2023-11-01,Grocery Store,255,15666.05
2,2023-12-01,Grocery Store,250,59353.24
2,2024-01-01,Grocery Store,338,40021.45
2,2024-02-01,Grocery Store,314,28544.47
2,2024-03-01,Grocery Store,300,64088.34
2,2024-04-01,Grocery Store,366,57858.63
2,2024-05-01,Grocery Store,399,118101.77
2,2024-06-01,Grocery Store,287,29640.26
2,2024-07-01,Grocery Store,263,76808.72
2,2024-08-01,Grocery Store,320,77673.75
2,2024-09-01,Grocery Store,281,78739.56
2,2024-10-01,Grocery Store,294,23322.15
2,2024-11-01,Grocery Store,248,16380.95
2,2024-12-01,Grocery Store,336,42870.4
2,2025-01-01,Grocery Store,295,66004.91
2,2025-02-01,Grocery Store,253,43042.06
2,2025-03-01,Grocery Store,352,66849.08
2,2025-04-01,Grocery Store,319,22957.35
2,2025-05-01,Grocery Store,320,80046.94
2,2025-06-01,Grocery Store,330,69005.5
2,2025-07-01,Grocery Store,319,72898.43
2,2025-08-01,Grocery Store,276,19327.92
2,2025-09-01,Grocery Store,315,57204.21
2,2025-10-01,Grocery Store,279,31185.45
2,2025-11-01,Grocery Store,272,25984.02
2,2025-12-01,Grocery Store,313,59107.2
2,2023-01-01,Café,166,26172.08
2,2023-02-01,Café,181,60054.4
2,2023-03-01,Café,180,28804.91
2,2023-04-01,Café,224,74214.43
2,2023-05-01,Café,211,62896.48
2,2023-06-01,Café,182,56035.99
2,2023-07-01,Café,160,33501.73
2,2023-08-01,Café,165,45056.46
2,2023-09-01,Café,158,47121.56
2,2023-10-01,Café,141,30249.2
2,2023-11-01,Café,131,34511.61
2,2023-12-01,Café,180,50389.83
2,2024-01-01,Café,193,63052.0
2,2024-02-01,Café,180,60138.09
2,2024-03-01,Café,194,71211.16
2,2024-04-01,Café,247,40575.11
2,2024-05-01,Café,217,83212.72
2,2024-06-01,Café,194,36294.65
2,2024-07-01,Café,197,62393.06
2,2024-08-01,Café,173,56427.44
2,2024-09-01,Café,168,43837.51
2,2024-10-01,Café,139,49974.51
2,2024-11-01,Café,162,47409.69
2,2024-12-01,Café,177,56485.72
2,2025-01-01,Café,197,61948.88
2,2025-02-01,Café,177,44555.68
2,2025-03-01,Café,218,54725.65
2,2025-04-01,Café,225,76628.54
2,2025-05-01,Café,207,31348.01
2,2025-06-01,Café,232,75137.1
2,2025-07-01,Café,171,28779.13
2,2025-08-01,Café,139,36956.42
2,2025-09-01,Café,183,43062.09
2,2025-10-01,Café,158,44777.3
2,2025-11-01,Café,192,29675.16
2,2025-12-01,Café,190,71156.45
3,2023-01-01,Electronics Store,35,86874.87
3,2023-02-01,Electronics Store,37,217818.04
3,2023-03-01,Electronics Store,40,179618.46
3,2023-04-01,Electronics Store,46,244186.07
3,2023-05-01,Electronics Store,40,306894.8
3,2023-06-01,Electronics Store,33,320212.7
3,2023-07-01,Electronics Store,36,346004.16
3,2023-08-01,Electronics Store,32,122388.42
3,2023-09-01,Electronics Store,27,222593.51
3,2023-10-01,Electronics Store,28,205531.18
3,2023-11-01,Electronics Store,28,221059.72
3,2023-12-01,Electronics Store,35,76618.8
3,2024-01-01,Electronics Store,35,236453.37
3,2024-02-01,Electronics Store,34,257079.32
3,2024-03-01,Electronics Store,44,184504.55
3,2024-04-01,Electronics Store,50,176746.93
3,2024-05-01,Electronics Store,42,106717.82
3,2024-06-01,Electronics Store,37,334503.41
3,2024-07-01,Electronics Store,42,418030.83
3,2024-08-01,Electronics Store,31,177370.99
3,2024-09-01,Electronics Store,35,126261.43
3,2024-10-01,Electronics Store,29,233429.89
3,2024-11-01,Electronics Store,30,298196.04
3,2024-12-01,Electronics Store,34,209700.57
3,2025-01-01,Electronics Store,39,321992.76
3,2025-02-01,Electronics Store,41,168300.92
3,2025-03-01,Electronics Store,36,186330.68
3,2025-04-01,Electronics Store,47,439691.38
3,2025-05-01,Electronics Store,45,227024.39
3,2025-06-01,Electronics Store,42,349450.23
3,2025-07-01,Electronics Store,42,200289.51
3,2025-08-01,Electronics Store,34,104046.71
3,2025-09-01,Electronics Store,40,135948.36
3,2025-10-01,Electronics Store,36,177849.91
3,2025-11-01,Electronics Store,35,340430.21
3,2025-12-01,Electronics Store,40,220643.74
3,2023-01-01,Clothing Store,107,66628.82
3,2023-02-01,Clothing Store,113,281339.79
3,2023-03-01,Clothing Store,99,61833.78
3,2023-04-01,Clothing Store,105,181696.08
3,2023-05-01,Clothing Store,80,181856.67
3,2023-06-01,Clothing Store,112,148765.06
