sales,discount,profit,total_population,area,population_density,year,month,day_of_week,week_of_year,quarter,is_weekend,is_month_end,profit_margin,per_capita_income,income_to_sales_ratio,income_x_population,osm_supermarkets,osm_transit_hubs,osm_schools_colleges,osm_hospitals,osm_competitor_score,osm_accessibility_score,weather_avg_temp_c,weather_total_rain_mm,weather_avg_humidity,weather_is_monsoon,weather_is_summer,festival_score,is_festival_period,income_x_festival,category_encoded,sub_category_encoded,region_encoded,city_encoded,revenue_band_encoded,festival_name_encoded,festival_impact_encoded,sales_lag_1m,sales_lag_3m,sales_rolling_avg_3m,sales_per_capita,profit_per_capita,sales_per_sq_km,competitor_density,accessibility_per_capita,estimated_rent_per_sqft
1840,0.25,570.4,75000,32.0,2343.75,2015,1,1,4,1,0,0,0.31,69000,37.5,5175000000,0,0,0,34,0,0,23.64,3.3,68.39,0,0,1,1,69000,0,2,0,0,3,22,1,1840.0,1840.0,1840.0,0.024533333333333334,0.007605333333333333,57.5,0.0,0.0,34.87
1073,0.3,236.06,75000,32.0,2343.75,2015,1,6,1,1,1,0,0.22,69000,64.30568499534017,5175000000,0,0,0,34,0,0,23.64,3.3,68.39,0,0,0,0,0,1,13,1,0,2,12,3,1073.0,1073.0,1073.0,0.014306666666666667,0.0031474666666666666,33.53125,0.0,0.0,34.87
1818,0.18,363.6,75000,32.0,2343.75,2015,1,5,1,1,1,0,0.2,69000,37.95379537953795,5175000000,0,0,0,34,0,0,23.64,3.3,68.39,0,0,0,0,0,1,13,0,0,3,12,3,1073.0,1818.0,1445.5,0.02424,0.004848,56.8125,0.0,0.0,34.87
1596,0.34,351.12,75000,32.0,2343.75,2015,1,2,2,1,0,0,0.22,69000,43.233082706766915,5175000000,0,0,0,34,0,0,23.64,3.3,68.39,0,0,3,1,207000,3,7,4,0,0,21,4,1596.0,1596.0,1596.0,0.02128,0.0046816,49.875,0.0,0.0,34.87
1064,0.12,457.52,75000,32.0,2343.75,2015,1,0,4,1,0,0,0.43,69000,64.84962406015038,5175000000,0,0,0,34,0,0,23.64,3.3,68.39,0,0,1,1,69000,6,5,4,0,2,22,1,1064.0,1064.0,1064.0,0.014186666666666667,0.006100266666666666,33.25,0.0,0.0,34.87
1638,0.11,163.8,75000,32.0,2343.75,2015,1,3,2,1,0,0,0.1,69000,42.124542124542124,5175000000,0,0,0,34,0,0,23.64,3.3,68.39,0,0,3,1,207000,6,16,3,0,0,21,4,1064.0,1638.0,1351.0,0.02184,0.002184,51.1875,0.0,0.0,34.87
2314,0.27,624.78,4646732,175.0,26552.754285714287,2015,1,4,4,1,0,0,0.27,189000,81.67675021607606,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,1,1,189000,2,10,0,1,3,22,1,2314.0,2314.0,2314.0,0.0004979843898894965,0.00013445578527016407,13.222857142857142,0.35428571428571426,0.00774738030943037,190.62
2014,0.28,725.04,4646732,175.0,26552.754285714287,2015,1,6,2,1,1,0,0.36,189000,93.84309831181729,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,3,1,567000,2,15,1,1,3,21,4,2314.0,2014.0,2164.0,0.0004334228873109101,0.00015603223943192764,11.508571428571429,0.35428571428571426,0.00774738030943037,190.62
1934,0.16,348.12,4646732,175.0,26552.754285714287,2015,1,0,3,1,0,0,0.18,189000,97.72492244053774,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,3,1,567000,3,7,0,1,3,21,4,1934.0,1934.0,1934.0,0.0004162064866232871,7.491716759219167e-05,11.051428571428572,0.35428571428571426,0.00774738030943037,190.62
1353,0.28,514.14,4646732,175.0,26552.754285714287,2015,1,6,3,1,1,0,0.38,189000,139.68957871396896,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,0,0,0,3,18,4,1,0,12,3,1934.0,1353.0,1643.5,0.0002911723766294247,0.00011064550311918139,7.731428571428571,0.35428571428571426,0.00774738030943037,190.62
1584,0.31,681.12,4646732,175.0,26552.754285714287,2015,1,6,2,1,1,0,0.43,189000,119.31818181818181,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,3,1,567000,5,8,1,1,0,21,4,1584.0,1584.0,1584.0,0.0003408847336149363,0.0001465804354544226,9.051428571428572,0.35428571428571426,0.00774738030943037,190.62
1121,0.33,257.83,4646732,175.0,26552.754285714287,2015,1,6,2,1,1,0,0.23,189000,168.59946476360392,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,3,1,567000,6,5,1,1,2,21,4,1121.0,1121.0,1121.0,0.00024124481463531789,5.548630736612311e-05,6.405714285714286,0.35428571428571426,0.00774738030943037,190.62
727,0.28,276.26,4646732,175.0,26552.754285714287,2015,1,6,2,1,1,0,0.38,189000,259.97248968363135,878232348000,62,3,33,268,62,36,24.16,8.5,75.23,0,0,3,1,567000,6,16,3,1,1,21,4,1121.0,727.0,924.0,0.0001564540412487744,5.945253567453427e-05,4.154285714285714,0.35428571428571426,0.00774738030943037,190.62
817,0.15,326.8,3458045,4732.0,730.7787405,2015,1,1,2,1,0,0,0.4,142000,173.80660954712363,491042390000,41,1,55,221,41,56,22.57,4.6,68.97,0,0,0,0,0,0,1,0,2,2,12,3,817.0,817.0,817.0,0.00023626066173227937,9.450426469291176e-05,0.17265426880811496,0.008664412510566356,0.0161941212448074,108.84
894,0.28,357.6,3458045,4732.0,730.7787405,2015,1,1,2,1,0,0,0.4,142000,158.83668903803132,491042390000,41,1,55,221,41,56,22.57,4.6,68.97,0,0,0,0,0,0,2,0,2,2,12,3,817.0,894.0,855.5,0.00025852757844388956,0.00010341103137755582,0.1889264581572274,0.008664412510566356,0.0161941212448074,108.84
1384,0.26,484.4,3458045,4732.0,730.7787405,2015,1,0,5,1,0,0,0.35,142000,102.60115606936417,491042390000,41,1,55,221,41,56,22.57,4.6,68.97,0,0,1,1,142000,3,7,0,2,0,9,1,1384.0,1384.0,1384.0,0.0004002261393359543,0.00014007914876758398,0.29247675401521556,0.008664412510566356,0.0161941212448074,108.84
1098,0.17,428.22,3458045,4732.0,730.7787405,2015,1,0,3,1,0,0,0.39,142000,129.32604735883424,491042390000,41,1,55,221,41,56,22.57,4.6,68.97,0,0,3,1,426000,5,14,1,2,2,21,4,1098.0,1098.0,1098.0,0.0003175204486928308,0.000123832974990204,0.2320371935756551,0.008664412510566356,0.0161941212448074,108.84
1843,0.12,313.31,3458045,4732.0,730.7787405,2015,1,6,2,1,1,0,0.17,142000,77.0482908301682,491042390000,41,1,55,221,41,56,22.57,4.6,68.97,0,0,3,1,426000,6,16,4,2,3,21,4,1843.0,1843.0,1843.0,0.0005329600973960721,9.060321655733225e-05,0.3894759087066779,0.008664412510566356,0.0161941212448074,108.84
1973,0.32,789.2,68976,16.0,4311.0,2015,1,1,4,1,0,0,0.4,69000,34.972123669538774,4759344000,0,1,0,36,0,1,23.62,10.9,73.23,0,0,1,1,69000,0,1,3,3,3,22,1,1973.0,1973.0,1973.0,0.02860415216887033,0.011441660867548133,123.3125,0.0,0.014497796334957087,39.93
538,0.19,59.18,68976,16.0,4311.0,2015,1,1,2,1,0,0,0.11,69000,128.2527881040892,4759344000,0,1,0,36,0,1,23.62,10.9,73.23,0,0,0,0,0,1,13,0,3,1,12,3,538.0,538.0,538.0,0.007799814428206912,0.0008579795871027604,33.625,0.0,0.014497796334957087,39.93
610,0.32,134.2,68976,16.0,4311.0,2015,1,1,3,1,0,0,0.22,69000,113.11475409836065,4759344000,0,1,0,36,0,1,23.62,10.9,73.23,0,0,3,1,207000,3,7,4,3,1,21,4,610.0,610.0,610.0,0.008843655764323824,0.0019456042681512409,38.125,0.0,0.014497796334957087,39.93
1709,0.35,683.6,68976,16.0,4311.0,2015,1,6,2,1,1,0,0.4,69000,40.3744880046811,4759344000,0,1,0,36,0,1,23.62,10.9,73.23,0,0,3,1,207000,3,18,4,3,0,21,4,610.0,1709.0,1159.5,0.024776733936441662,0.009910693574576664,106.8125,0.0,0.014497796334957087,39.93
1822,0.14,255.08,68976,16.0,4311.0,2015,1,5,1,1,1,0,0.14,69000,37.87047200878156,4759344000,0,1,0,36,0,1,23.62,10.9,73.23,0,0,0,0,0,6,5,0,3,3,12,3,1822.0,1822.0,1822.0,0.02641498492229181,0.0036980978891208538,113.875,0.0,0.014497796334957087,39.93
540,0.34,156.6,1506843,4497.0,335.0773849232822,2015,1,1,5,1,0,0,0.29,71000,131.4814814814815,106985853000,5,2,14,91,5,16,22.53,10.6,71.03,0,0,0,0,0,1,21,4,4,1,12,3,540.0,540.0,540.0,0.00035836513823935207,0.00010392589008941209,0.12008005336891261,0.0011118523460084502,0.010618226318203024,40.73
2294,0.24,940.54,1506843,4497.0,335.0773849232822,2015,1,1,4,1,0,0,0.41,71000,30.95030514385353,106985853000,5,2,14,91,5,16,22.53,10.6,71.03,0,0,1,1,71000,4,12,0,4,3,22,1,2294.0,2294.0,2294.0,0.0015223881983723586,0.000624179161332667,0.5101178563486769,0.0011118523460084502,0.010618226318203024,40.73
